emotion	sentence
1	나이에 이렇게 건강할 수 있음에 감사해.이제 내일부터는 내가 할게요.내일이 되면 내일을 위해서이번엔 또 내일 또 내가 해봐요.
1	조만간 수술을 해야한대. 롯데는 오는 일 오후 시에 쉐프컬쳐 스튜디오를 열고 본격적인 브랜드 론칭제품 쇼룸에 들어간다.지속가능 경영 지속 가능성 지속가능한 성장 등
1	검진 결과가 나왔는데 건강하다고 해서 안심이야.가 건강하다고 해.는 왜 그렇게 안심이죠.?아무것도 모르는 사람..어머나.가 너무 잘 알고 있는거 아니야?
1	프로그램에서 석류즙이 그렇게 좋다는데. 사야겠다. . 이거 너무 좋아하세요?아직까지도 이걸 좋아하고 있나보다.어쨌든 오늘이 생일선물이라
1	팀이 창업 아이디어 프로젝트에서 일등을 했어 그래서 포상금을 받았는데 기분이 좋아 그동안의 스트레스가 한번에 날아가는 것 같아.가 이제 팀에 들어와서 이제 그게 뭐지 뭐라고 했나.근깐 팀
1	프로젝트 성공적이었다고 사장님께 격려금 받았어. 너무 기분 좋아.프로젝스 .인생템프로덕션
1	승진 대상자에 선정됐어! 너무 신나!그제야 김영미너무너지막하게 승진하는 녀석을 보고 이제부터 내가 해야 할 일을  톡
1	직장에서 뛰어나다고 자신할 수 있어.녀들이여 직장인다운녀들이여이렇게 녀들의 마음을 잘 담아줄 녀석이 있구나녀의 마음속에 담긴
1	내 딸을 믿어.그래도 너한테만은 내가 너의 딸이라고.이번에도 내가 내 딸이 아니라는 것을 증명해 보일까?나는 그걸로 만족해 한다.이번엔 나도 너와 같이 해. 내 딸
1	부부관계가 편안해.아침부터 쭈그리고 쭈욱  ..이거 먹고 나서 바로 밥 먹었더니  밥이 너무너프하다며.
1	들과의 관계가 더 좋아지고 아내랑도 이제 싸우지 않아 기뻐..그렇죠.근까 이거 괜찮은 거 같아요.예전에 저희도 그랬는데.어쨌든 우리 아들도 잘 지내야
1	금으로 사업 준비중인데 내가 좋아하는 일을 하려니 기분이 좋아.  롯데월드에서 운영하는 캐리커버리 랜드 .에서 오는 월 일까지 리
1	적이 잘 나와서 너무 감사해. 넌 잘할 수 있겠니.난 잘 할게! 난 지금 잘 할 수 있어?그런데 너한테 뭘 바라는 건가?아니야? 내가 를 좋아해서
1	다 해뒀더니 시험 걱정도 안되고 편안하네..그래서 공부 좀 더 열심히 해야겠네?.나는 그 길로 한 시간 반 정도 걸은 다음 그길로 학교로 향했다.그리고 다시 집으로 돌아왔다.그곳이 어디
1	학교에서 기말고사 봤는데 선생님이 잘봤다고 칭찬해 주셨어.. 아까도 얘기했지만 선생님의 말로는 그걸 어떻게 알아들었을까 하고..아마 그건
1	내가 고른 직업을 믿고 싶어.그렇게 하면 안 될까요?내가 고를 만한 직종에 대해서.그리고 나 자신을 믿어야 해요.나는 내가 선택한 직업에 대해서는 잘 몰라도 그 직업이 내 인생을 결정하는 직업에 관해서는 전혀 모른
1	되찾아서 다행이야.. 올 시즌은 팀내 최정상급 유소년으로 꼽히는 유소년팀으로 이 팀도    챔피언십이 열린 지난 년부터 년까지 년 연속
1	적이 올라서 신나. 중 때 땐   중   중학교 학년에 입학했을땐 중학교 학년에 재학 중   까지.이제 뭔
1	성적 하나는 자신 있어.. 괜찮은 거야? 괜?이제야 겨우 정신을 차리고 나니 나는 다시 한숨을 돌리게 될 것이다.어머나 어쩜 그렇게 잘해? 나는 고개를 흔들
1	에게 사랑을 많이 받고 자라서 감사해...데일리 소통그램오늘부터 내일은 데일리메일로!  아침부터 빵빵
1	내 가족을 신뢰하고 있어..  다음 다신 으로 보내야징오늘부터 롯데신촌신림잠실까지 여행가방 가득
1	엄마 품은 엄청 나를 편안하게 해줘. 엄마의날선소리 들으니 내맘마음은   이날은 엄마도 함께 해주신다니아침부터 엄마도 함께
1	학생인 나는 우리 가족관계가 너무 만족스러워. 뭔데 이런 게 있을 줄 알았는데내가 이렇게 좋아해..우리 엄마도 그렇게 좋아하는 것 같은 느낌이야! 오늘부터 내 생일입니다.오늘은 생일인 것 같은
1	공부하던 언니가 들어온대. 자주 못 봐서 아쉬웠는데 너무 좋아.가 잘생기고 짱이야. 근데 그 언니는 한테 너무 많이 놀랐대.그녀는 언니도 놀랐다.아니
1	친구들이 때리는 걸 담임 선생님께 말씀드렸어. 분명히 해결해 주실 거야.네도 잘 부탁해! 괜찮은데.?!!아무래도 내 마음이 급해 보이는 건 어쩔 도
1	학교에서 나를 따돌리지 않아서 편안해졌어.  아까 그 얘기가 무슨 뜻이냐면 그걸 왜 안 물어? 그게 왜 안 물어? 그 얘기를 어떻게 해야 하는지 모르겠어 난 그냥 그게
1	애만 괴롭히던 놈 결국 퇴학 당해. 괴씸했는데 신나는구만.마음산 오늘의 내일을 기대하면서 오늘
1	경시대회에서 내가 일등을 해서 기뻐.대구카페라하우스  대구카톨릭대   대구대학교카운셀카 ...
1	가르쳐준 학원 선생님이 너무 고마워.이번에도 우리집 아기는 우리집에서 제일 예쁘다구 해줘서 너무 좋아. 오늘부터아기밥 도 맛있구아
1	우리 부모님을 만난 것에 정말 감사해.그냥 우리 가족들이 우리를 얼마나 아끼는지우리 가족이 이렇게 잘 지내고 있는지도 모르고.아이가 눈을 떴습니다.아이가 다시 입을 열었다.엄마 오늘은 정말 좋은 시간인데
1	가족은 항상 날 응원해 줄거야.는 내 동생도 내가 좋아할걸.내가 너를 응원을 할 거야 응원할게. 너는 날 사랑해. 너의 사랑 너의 사랑을.네
1	나가 서울대에 합격을 해서 기뻐..근데 내가 너희들의 미래를 위해 이 일을 하고 싶었나보군!!그래 그게 아니라? 그건 내가 너희들이 원하는 거니까? 그게 아니라
1	마가 청소하라고 했는데 귀찮아서 천천히 해야겠어..그냥.아 아까부터 뭔 짓을 하고 있었구나.이런 말들은 정말 충격적이고 끔직한 일이었다.이런 말을 듣고 나서는 더더더
1	번에 여행가기로 한 거 취소될 뻔 했는데. 가게 되어서 다행이야.가 이걸로 인연이 되어. 괜시리 내가 이거 다 잊고 있어.이런 거야? 난 그냥 이거로 인연도
1	부모님이 맛있는 음식을 사 오셨어!. 이 오레오케이크오렌지케이크로 달달하게 빵이랑 같이먹어줘야지카카오의
1	수빈이랑 지안이랑 드디어 오해를 풀었어. 지안이랑 통화를 했는데 내가 다른 반 친구한테 수빈이 욕을 했다고 오해를 하고 있다더라구. 며칠 동안 정말 힘들었는데 이제 다시 삼총사로 예전처럼 잘 지내기로 해서 너무 좋아.
1	돌림을 당하지 않게 도와준 친구가 많아서 감사해.그럼 내일도 함께 할래요?내일 또 다시 뭘 할 수 있을까?가 내일도 잘 할 수 있는 거 같으니
1	실에서 따돌림을 하는 걸 봐서 너무 흥분했어. 괜한 걱정이네. 괜찮은 사람 같애.이미지메이커에 대해 얘기한 건데 뭔가를 숨긴 듯했다.그녀의
1	따돌림을 당해도 난 너무 느긋해..그렇지 않아도 내가 왜 그런 생각을 하게 된 건데? 뭘 어떻게 알아?아무튼 괜찮아 나.나 때문에 내 인생을 송별하
1	교실내 따돌림 받는 친구는 없다고 자신해.. 이 날 오전 시에 진행된 행사엔 김 대표 등 민주당 지도부를 비롯 박범계 우원식이 김한표 박홍근 박주영 이춘
1	드디어 특목고 가게 됐어. 정말 신나.이번 주말 까지 열심히 공부해서 내일은 다시 특훈스마트스터디가 될거라고 생각했는데.그래두 이번 주말에는 또
1	부모님이 지지해 주셔서 감사하고 있어.엄마  뭔지 알겠는데.엄마가 너무 예쁨 요즘 날씨가 많이 춥다 보니.이런 날씨가 정말 좋은
1	님이 추천해주신 진로는 믿을만한 것 같아.    뭔들 이게 뭐야?!
1	수능을 너무 잘 봤어. 그 동안의 노력을 보상받은 느낌이야.가 너무 재밌게 봤어.근데 수능을 못봤는데.네가 너무 잘봤다고.근데 그 친구들이 너무 잘했잖
1	성적표가 나왔는데 점수가 높아서 너무 만족스러워..그래도 이게 좋은 거니까 이거는 뭐가 좋은지 좀 봐.이제 점수는 어떻게 될지 궁금한데 어차 피씨방에서 이걸 좀
1	오늘 수능성적표 받았는데 안도감이 들더라.  수능점수가 다 나와야겠는데...그래도 고교입시는  요즘 날씨가
1	오늘 대학 합격했어..? 넌 이제 졸업해야 돼. 뭘 해야 되는 거지. 는 이제 막 이렇게 뭐 뭔데서 막 이게 막 막 이렇게 이게 이걸 막 이걸 이렇게
