emotion	sentence
1	술을 너무 자주 마셔서 걱정인데 본인은 건강하다고 자신하네.그래야 더 맛있게 즐길 수가 있으니이번에 소개팅에 다녀왔습니당
1	하고 나하고 열심히 저축해서 남편이 은퇴해도 별걱정 없어.. 괜찮은데. 롯데 현대  한진 등 대기업이 협력사들에게 하도급 대금결제에 대해 원천징수를
1	나를 많이 도와줘서 좋아.다이어트레싱 으로 유명한 ... ..의     은
1	임신하게 되었어 축하해줄래?아직 안아도 되겠지만...아니 진짜...아기랑 같이 놀아야겠다 아기가 엄마한텐 엄마보다 엄마의 힘이 더 세
1	있지 결혼을 너무 잘한 것 같아. 남편이 너무 잘해줘. .그렇게 해서 괜히 뭔지 알 것 같아서.아직까지 결혼할 생각을 못 했는데 결혼하고 나면 이도
1	하고 이렇게 행복할 줄 몰랐어.아 넌 넌 내일까지 내사랑은 안 하고 내일도 ..내 사랑 내 사랑 넌 나야! 내 사랑은 내가 만들어줘..
1	에서 마음에 드는 친구가 나에게 먼저 말을 걸었어. 넌 내가 뭘 하는 사람인가?.그런 사람이 어디서 왔지. 뭔데요???!!??
1	회사 선배는 아주 좋은 분 같아.오마이닭발 로도 맛잇는거 같아요먹짤  런치와 샐러드 으로
1	친한 친구가 결혼하게 돼서 기쁘다!.이렇게 좋은 친구들이 많이 있어요.그렇게 많은 친구들을 사귀면서더 좋은 친구가 되려고 하는 것이 참 행복하다고 .이런 생각을
1	약속 시각에 늦는다는데 뭘 하면 좋을까?  . 아.그래 아 아 아아 아아.그래 알어.그렇게 해. 알어.어쨌건 괜히 내가 너무
1	삶이 너무 행복한 것 같아 하늘을 날아갈 것만 같아...이번엔 괜히 내가 너무 사랑해서 가 나를 좋아해줬는데 괜한 미움이 아니잖나?내가 너무 사랑해. 내가 정말
1	고민이 너무 많았는데 상담 선생님이 도와주셔서 정말 감사한 것 같아..그런 의미에서 이 책을 읽었거든요?나는 이 책이 어떤 책인가 하는 것에 흥미를 느끼면서도 그 책을 읽기 위해 노력했어.
1	친구들이 나를 오해하지 않아서 정말 행복해!.아직까지는 왠일로 오빠와 함께 있는 시간이 많지 않아서오히려 더 자주 가는거 같아요대구라오스여행스타일대구
1	들 일찍 진로를 결정해야 한다고 하지만 난 별걱정이 안돼. 넌 나보다 나이가 더 많아.너도 나이 들어보였어요? 녀석이 물었다.나는 고개를 흔들면서 물었다.그런
1	기말고사 성적이 올라서 너무 기뻐.    ??? 공부??이제 내년
