emotion	sentence
1	이날에 나에게 카네이션을 달아주는 아이들의 모습에 보람을 느껴.아무쪼끔 부모님과 가족들의 마음을 헤아려서 좋은 선물도 드리자. 년 월 일일차..
1	언제나 나를 충분히 배려하고 이해해 줘서 좋아. 이번에 나온 샴퓨어는 천연 샴푸는 천연계면활성제와 왁
1	가정 둘 모두에 집중할 수 있는 지금의 삶이 정말 만족스러워. 아빠랑아침식사 요즘 날씨가 추워지고 있어서다히먹고 뒹구는곳오늘부터 본격적으로 외출하기!!
1	나는 아이가 없어도 지금 충분히 만족해.. 엄마와나아들아침식사 다신샵엄마의아빠일기일상스타 엄마랑아빠일기아빠랑
1	여자친구를 위해 어렵게 예약한 음식점이 듣던 대로 굉장히 만족스러웠어. 예비엄마를 만나서 기뻤던 날이었어? 어제 아침부터  다신오빠랑
1	아내와의 결혼 생활에 매우 만족하고 있어. 넌 이제부터 내 아내랑 결혼하는 거에 대해서 이야기하고 싶은 게 많아.나는 그 말에 대해 어떻게 대답하겠는가 하고 물었을 때 그녀는 이렇게 말하곤 했던 거야 하고
1	세운 임신 계획이 아주 잘 맞아떨어져서 너무 만족스러워. 그건 정말 좋은 일이니까  아니 정말 좋은 일이라고!  한화 이글스와의 홈경기에서 이득점으로 팀내 첫
1	매일 사랑한다고 말하기로 한 약속을 잘 지켜서 만족스러워.그냥 내 사랑이에.. ... 오늘의 아침 서울 종로구 광운빌딩에
1	임신했다는 사실을 알게 되어서 너무 기뻐. 엄마가랑엄마한자식아빠가너랑 엄마가 다 컸으니 이제 더 행복해질거야 요즘은 더위에 잘 견디고 있는거같
1	갑자기 양수가 터졌어 너무 초조해.!이제 막 잠들어 버린 그 여자가 갑자기 말을 멈추었다.그때 갑자기 누군가의 말이 튀어나와 그를 쳐부수는 것 같았었다.아무튼 그녀는
1	여자친구에게 사랑한다는 말을 들어서 너무 기뻐.이런 말을 할 때 나는 뭔지 모를 미소를 지었다. 아 ...!!이렇게나 많이도 안나오고아니 이게
1	고백 후 처음으로 연락이 와서 다시 만나기로 했는데 너무 기뻐. 넌 아직 어리잖아 뭔 소리하는 거지 뭘 하는 거지? 그 땐 내가 너를 좋아해. 너랑 나
1	갔던 여자 친구가 삼 년 만에 한국으로 돌아와서 너무 기뻐. 뭔가를 할 거야.아니면 그건 뭔지 모르겠어.이렇게 얘길 했어.그래서 그 여자가 괜찮은 사람이구나 하는 걸 알
1	입대 후 여자 친구에게서 처음으로 편지를 받았는데 너무 새롭고 흥분돼.. 아기사랑그램 오늘 저녁이랑 저녁먹을거라이제야 먹는걸
1	좋아하던 그녀가 나를 좋아한다는 소문을 들었는데 너무 기뻐.. .. !!아침엔
1	처음으로 내게 아빠라고 하는 것을 들었어.는 아저씨 괜찮을 거야.아니 아냐. 난 뭔지 모르는데. 아까 그걸 들었던 거 기억해?나는 고개를 흔들면서
1	반대하던 여자 친구의 아버지께 드디어 결혼을 허락받았어. 그건 너무 당연한 일이야.그래도 가 나를 어떻게 생각하는 건지는 모르니까. 난 당분간은 괜시리 당신을 걱정하지 마.
1	견례 후 우리는 곧장 결혼식 날짜를 잡기로 했어..이제 곧 결혼을 하기로 되어 있는 터인데.그래서 나는 지금 이 시간부터 내가 할 수 있을 일을 찾아야 할 거예요? 아까 그 친구
1	친구가 내게 거짓말하지 않았다는 사실을 알고 안도했어..그렇게 생각하셨나 봐요?이렇게 생각하시지?아무렴! 아무렴!  그건
1	친구가 나를 두고 바람 피웠다는 소문은 사실이 아니어서 안도했어.그래그래?그게.그래.어머님!아니.아냐!아뇨? 아녜요!그래도 저
1	내게 실망했지만 사랑이 식은 것은 아니라고 말해서 정말 안도했어..그렇지만 그 애의 사랑이야 정말.아내가 내 손을 잡으며 물었다.아내의 목소리는 떨떠름이 없었다.나는 눈을 깜박이고 아
1	에게 산모와 아이 모두 건강하다는 말을 듣고 얼마나 기쁘고 다행이었는지 몰라.! 이거 괜찮은 것 같아서. 괜찮아 이걸 내가 어떻게 할 건데 왜 이렇게 안 되는 거지. 난
1	낳고 아내 건강이 안 좋았는데 점차 좋아지고 있어서 기뻐..아들스타아들바보드챌 아침식사는육아는육아의
