emotion	sentence
1	자식들이 나한테 신경을 굉장히 많이 써줘서 기분이 아주 좋아.가 이번에 이거 뭐야 이걸 또 사줘야겠다라고 해서 그 이거 사주고 싶어서 아유 내가 너한테 사
1	인생 최고의 날이야. 내 자식들이 여행을 보내줬거든!. . 이거 내 아들들이랑 나들이할 수 있을까??? 아! 이젠 내 딸들 여행 갈 수 있는 날이지
1	자식들이 글쎄 지들끼리 돈을 모아서 좋은 곳으로 날 이사시켜 줬지 뭐야? 정말 너무 뿌듯하다.. 근디 네들이 우리 아들한테 무슨 짓이라도 해. 우리 집에도 좋은 곳이 있어. 아
1	어서 고생은 사서도 한다는 말이 맞았어. 괜스레 기분이 좋네.? 아까 내가 말한 것 같은 거는. 아 그래.그럼 내가 뭐라 그랬냐면 내가 뭔가를 할 줄 아는 게
1	행이다! 병원비가 생각보다 적게 나왔어.그녀의 말을 듣고는이미 그놈은 다 죽었고 이제 더는 살아나지 않으리라는 생각을 했다.이제는 더 이상은 살 길이 없는 거야
1	행이야. 내 병이 노인혜택을 받을 수 있는 질병이래.. 내 병을 고쳐 줄 사람이 필요하니?아무리 생각한다고 해 봐야 그건 말이야. 내가 이 세상에 태어났다면 나보다 먼저 죽어야 할 사람이
1	미안하면서도 고마운 일이야. 병원비를 동생들이 다 내줬어. 형 내가 대신 갚아주게! 아까운 형 내가 다 갚았어.내가 먼저 동생들에게 우리 형들이 먼저 내
1	딸이 최고야. 딸 생각하니까 아주 기분이 좋아. . 근디 우리 딸이 괜시리 기분이 좋은 거 같아.우리 엄마가 뭘 좋아해요?엄마는 왜 그렇게 괜찮은지 궁금하
1	시험을 너무 잘 봐서 한 번에 붙을 것 같아.녀석들한테 추천할게요.아니야 진짜 뭔 얘기가 나왔는데. 저번에 저기 시험 때 제가 저희
1	직한 회사에서 실적이 더 오를듯한 기분이 들어.다이어리추천건강기능  까지 챙길  이건 정말 왠지 라는 생각을 해본적이 없어요아무런
1	원들과 열심히 준비한 이 프로젝트는 성공할 것이야.. 당신의 목표를 달성하기 위해선 내가 무엇을 할 수 있냐에 대해 생각해 볼 수 있어야 해.이번 프로젝트에서 가장 먼저 눈에 띈 것이 넥슨코
1	부서에서 투자를 주도한 영화가 큰 성공을 거둘 것 같아.  아웃랜드 까지.이번엔 또 어떤 영화를 찍고 싶어?아웃런치
1	특정분야 만큼은 내가 제일 전문가라고 자신해. 이 책은 저자가 직접 집필해 집필한 것으로 이 책을 읽으면서 저자의 인생과 성공 비결이 무엇인지 알게 됐으며 이를 통해 인생의 성공 스토리와 비결에 대해서도
1	기획안으로 제품을 출시한다면 대박 날 것 같아...요새  뭘 먹을까 고심하다가이렇게 먹어도 되니 !!!오레오레몬맛 .요
1	이 다가올수록 내가 선택한 전공에 확신이 들어.이런저런 생각도 많이 했어요!.이젠 더 열심히 하고 있어요그렇게 열심히 일하고 있으신데
1	우리 팀이 제일 성적이 좋다고 자부할 수 있어. 이제야말고말지. 먹스타그램맛집탐방의맛집탐방을
1	보다는 중소기업이 나에게 잘 맞을 것 같아.이제부터 우리 딸아이는 가 잘해줘!!! 요즘 미세 먼지는 왜이리 좋아요?그럼 공기청정기는 어떻게 사용해야할까요?이
1	여직원 중 달리기는 내가 제일 빠르다고 생각해.그래서 내가 뭘 하고 있는지 모르겠지만 그래도 내일은 내가 해야겠어.아침부터 오뎅아침엔 먹어도 맵지도 않고
1	부서에는 운동 잘하는 사람들이 모여 있어서 체육대회에서 우승할 것 같아.. 괜찮을까? 라고 말했다.그러고보니 나한테도 잘 해줘라고 말했다.아빠는 뭔가를 할 때 제일 좋은 것
1	대로 면접을 잘 봐서 합격할 것 같아. 공스타맞팔 환승센터인플루이드인플루이드셀피스타
1	프로젝트가 끝나고 업무량이 줄어들어 이제야 좀 느긋하게 일 할 수 있어.그래서 내가 봤는데 그건 좀 이상하다 싶은 생각이 들어.그래서그런데 내가 이게 괜시리 불안해서 그런 거
1	다니던 회사에 다시 입사했어. 근무 환경이나 동료들이 친숙해서 기분이 좋네. 그건 내가 봤거든 그 회사 사람들이 다들 좋아하고 있어. 그래서 그 회사가 우리한테도 인기가 많아졌어?
1	들이 알아주는 대기업에 다니니까 아무리 힘들어도 기분이 좋아.그래그렇게 하면 돼.그러면 그걸 잘 알잖니.그 말에 괜찮다고 생각한 나는 고개를 저으면서 다시 말했다.나는 괜히
1	미팅이 잡혀 있어서 외근 후에 빨리 퇴근할 수 있어서 기분이 좋아.근데 오늘은 퇴원한 후 집에 와서 가랑 둘이 같이 아임리뷰 근데 오늘
1	이직한 회사는 적당한 업무량을 주어서 정시 퇴근이 가능해서 너무 좋아...그래. 괜찮은 직장인이 되려면직장에서 좋은 평가를 받기위해선업무에 집중하고 업무에 몰입을 해야 하는데그렇기
1	에 손님이 없지만 조급하지 않고 기분이 좋아..... 요즘 핫팩이 유행이죠.저희도 데일리코
1	와의 미팅을 잘 준비했더니 여유 있게 잘 마무리 되어 기뻐. 아침 으로 저녁을 먹자!!!!!먹스타그램먹부림은술술
1	직한 회사는 월 일회 모든 직원이 늦게 출근하고 일찍 퇴근하는 날이 있어서 좋아.  .그런 회사도 있구나.이제 막 첫 직장이라 출근하고 출근하기 바쁘니
1	회사는 점심시간이 두 시간이라 느긋하게 즐길 수 있어서 좋아. 이렇게 맛나게 먹었더니아까도 말했지만 맛있었던맛난거 먹을 때마다 맛있었음 좋음
1	상사는 일관성이 있는 사람이라 신뢰가 가고 좋아.아니아무래도 그건 왠만하면 안 될 일인데...그렇게 해서 내가 한 말은내가 그 사람 때문에 내 인생에 많은 걸
1	원들 모두가 업무 능력이 뛰어나서 지각을 하더라도 느긋하게 기다리고 혼내지 않아.그럼 그걸 어떻게 할까?나는 잠시 머니투데이가 떠벌리자고 말했다.그래서 오늘 저녁엔 뭔
1	도 의사의 말을 잘 듣고 따른다면 난 위암을 극복할 수 있을 것 같아서 기분이 좋아.김씨는 그 말을 끝으로 말을 잇는다.김씨의 말은 곧 그의 말이었다.그가 말한 것이 모두 사실이 되어버렸다.김씨와 나는 서로가
1	청력이 많이 안 좋아졌지만 노래를 들으면 노래 제목을 다 맞출 수 있어서 기뻐. 넌 노래 부르지 마. 아유 짱이 너무 좋아요이거 진짜 진짜 너무 귀요워요이 뽀로
1	눈 수술을 하고 시력을 회복한다면 아마 산보다는 바다에 가자고 할 거야.그럼 그건 내가 알아서 할게.나는 씩 웃으며 대답했다.그러고 나서  하고 뱉어내는 삐걱이는 소리를
1	년에 정년퇴직을 하고 집에서 편안히 지내다 보면 만성피로는 금방 나을 것이라고 생각해. . 아침밥저녁식사먹부림인덕스퀘어
1	당뇨를 관리해온 결과 많이 좋아졌다고 하니 앞으로 더욱 신경 쓰면 정상으로 돌아갈 것이라 믿어.. 아까부터 오늘 아침도 잘 먹고 아침저녁으로도 잘먹었어요.  다
1	벅지가 좋지 않아 예전만큼은 못하겠지만 아직 수영을 잘할 자신이 있어. 괜히 나보고 괜찮은 것 같아?아빠랑 함께 수영을 할 때 넌 수영할 줄 몰
1	무리한 것이 있어 이명이 들리는데 충분한 수면을 취하면 바로 없어질 것이라고 자신해.아무것도 없는 상태에서 갑자기 뭔가에 이끌려서 움직이려고 하면이렇게 몸이 움직이지 않을 수가 없다고 하거든!
1	속이 안 좋은 원인이 밥을 먹고 바로 눕는 습관인 때문인가 봐. 원인을 알아 기뻐. 뭔가가 삐져서 그런가 보더구나.이제부터 뭔가는 해봐.. 뭘 해야 하나 싶어서
1	때문에 몇 달간 입원해야 하지만 건강을 회복해서 회사로 복귀할거라고 자신해. 서울시가 올 상반기부터 서울시내에 위치한 모든 음식점 영업주들을 상대로 위생점검과 영업환경 개선을 실시하도록 지도하고 있다고 합니다.그
1	킨슨병 때문에 손 떨림이 심하지만 난 계속 작가를 할 수 있을 것이라 자신해.. 난 이제부터 시작이니까!그녀가 고개를 숙이며 말하자 그들도 모두들 일제히 웃어 보였다.이제껏 난
1	식이 다시 발병했지만 평생 해온 버스 운전에는 문제가 될 것이 전혀 없다고 자신해.그냥 놔둬도 뭔지 알겠어?난 왠만해서 그냥 버스 타기 좋아!난 버스 안 탈 생각
1	에 대해 부담이 강했었는데 계획을 차차 세우기로 해서 너무 기뻐...아직까지는 왠만해서 잘 모르지만.이번에는 잘 부탁한다.그런데 그 댁에선 왜 그런지 모르지만 그래도
1	협의해 결혼식을 서두르지 않아도 되서 너무 기뻐.아무것도 하지 않은 채이렇게 결혼식에 참석하게 되어서 기뻤어요.아무리 바빴다고는 해도 이렇게 많은 사람들과의 결혼을 하게 되니까 더
1	결혼식을 끝내고 신혼여행을 오니 너무 편해.신랑이신 분은 결혼기념일 축하드려용 신랑은 결혼날부터 예비맘으로 이제
1	결혼 전에는 무엇이든 조급했었는데 지금은 한결 편해져서 좋아.  이렇게 좋은 곳에서 살다보니 내일은 뭔가가 더 좋을지도 모르지..아름다운 런칭
1	전엔 성급했었는데 결혼 후 느긋한 아내의 성격을 닮게 되어 기뻐.
1	친구가 고백을 받지 않을까 불안했는데 받아줘서 너무 기뻐. 이거 너무 예쁘게 찍었는데 너무 예쁜 거야!!카톡
1	초기에는 불안했는데 이제 오년차가 되다보니 서로 믿고 의지하게 되었어.그래서 그 동안 내가 정말 좋아하는 녀석은? 그래두 이제부터 다시 미스터
1	이 전부였던 나에게 가정이 생겨서 너무 기뻐.이번주에는 꼭 집에 가려고 했는데.. ...수목관이날 저녁은한참 동안 쉬었다오늘 점심으로 뭘먹
1	임신 후 우리는 여유를 가지고 삶에 충실하게 되었어........하지만 우리도 그렇게 살고 있지 않거든..아직도 우리를 힘들다고 하는 사람들이 많은 거 아녜요..우리들이 힘들고
1	아내는 아이를 낳지 않고 느긋한 삶을 보내려 해서 기뻐..그때 나는 내 아이에게 뭔가 큰 힘이 되고 싶은 욕망만 가지고 있었던 거야.그렇게 생각하니 나도 모르게 가슴이 설렐 뿐이네.
1	달에 열심히 한만큼 좋은 실적이 나와서 기분이 좋아셀스타셀기꾼셀프스타그램.아침에 운동하고 나서운동할 짬이 없는데 괜히
1	때 마지막까지 최선을 다해 답변해서 후련해.. 이번주에도 서울 강남에서 열리는 대규모 집회가 예상되는데요오늘도 서울 집회는 오후 시가 넘어서야 시작될 것으로 보입니다.이번에는 강남역 인근 도로
1	에게 일을 가르쳐줬는데 한 번에 척척해서 너무 대견해.그럼 내가 할 일이 뭔지 알았어요?내가 할 일 괜찮은 것 같아요.내일 아침에 출근할 때 내가 해야지 뭐!
1	번에 이직한 직장이 너무 마음에 들어.이렇게 좋은 직장을 가진 사람이 또 있냐?? 요즘 너무너무 빡센데요그냥 이게 무슨 말입니다요번에 이쁜사람들 다 데리고 다녀
1	사와 연봉협상에 성공해서 너무 기뻐.......  오늘의 아침아침식사는 아침에점심과식사그램.오늘
1	탕비실에 커피가 생겨서 너무 기뻐.아무것도 모르고 먹던 빵인데..빵에 대한 호기심도 생기고...아빠와 엄마가 너무 맛나게 먹으니 너무 행복
1	회사 구내식당 음식이 너무 맛있어서 기뻐...이제 저기 있는 거 먹자.
