,emotion,generated_sentence
0,E61," 내일부터 내 몸에 대해 얘기를 할게! 내 몸에 관해 얘기는 해! 내 몸의 어떤 부분에 관해 말해 줄 거야, 이게 내 몸의 어떤 부분을 말하는 거구나!
내 몸"
1,E62," 수술 후유증을 생각하면 가슴이 답이 없는 거 같아요.
수술을 하면 그걸 또 다시 되돌릴 방법이 없을까 걱정되는데요.
네. 수술 전엔 뭐 뭐라 그럴까 수술 후유증을 좀"
2,E67," 건강하긴 하지만 그래도 이 정도면 좀 더 건강할 수 있을 거 같아요.""
나는 고개를 흔들고 고개를 저으며 말했다.
그리고 나서 말했다.
그녀는 나를 바라보면서 내 옆에 있는"
3,E62," 네~ 그래서 사왔다면서요.
이렇게 해서 석류가 많이 들어있다는 걸 알게 되었다죠.
그래도 석류에 대해서는 뭐랄까.
그렇다라는 걸"
4,E60, 그리고 또 그걸 통해서 이제 이게 이제 또 이십대 후반이라는 나이까지 또 한
5,E63," 감사합니다.</d> 이 책은 한국경제에 대해 '긍정의 시대' 혹은 '대응시대'의 의미를 부여한다.
'긍정시대'란 '경제위기'를 뜻하는"
6,E68,""" 라는 말을 남기며 ""너희들의 꿈, 너희는 나의 꿈을 이뤄줄 것이다""라는 글을 남겼습니다.
이 글 또한 네이트를 통해 게재 되었습니다.
그 후 이글에 댓"
7,E69," 하지만 내 생각엔 그런 건 없잖. 하지만 그거 때문에 나는 뭔가를 배울 수 있는 기회를 얻게 된 것 같단다. 그게 내 생각이지. 그래서 그런 걸까, 나는.""
"
8,E62," 그리고 너희를 위해 기도하라.""
그녀는 자신의 손을 잡으며 이렇게 말하고는,
그리고 내 손을 잡았다.
""너희에게 네 딸에게 네 이름을 불러주고 싶은데, 나는 그걸 원하지. 나는 널"
9,E63, 그리고 나처럼 괜한 스트레스를 받지 않으려고 노력할 테니 걱정 말고 편해. 넌 뭘 하고 있는 거 같아? 너 지금 어디 가고 있는지 알아. 내가 무슨 말을 하려고 했는지 알 것 같
10,E68, 그러고 나니까 그거 다들 이제 그~ 그거 때문에 이제 그~ 이제 결혼도 안 한 상태잖니? 아이고 그러지 뭐 그런 거는 다
11,E68," 내가 좋아하는 일에 내가 할게. 그리고 나처럼 돈을 버는데는 내가 좋아하는 일이 없어? 나보다 돈을 잘버는데 왜 그렇게 돈을 많이 버는지 모르겠어.
돈은"
12,E61," 내가 너한테 잘해줘서 미움받을 일이 없을 것 같은데.""
이미 다 알고 있는 일이었지만 그녀는 여전히 씁쓰러웠다.
이렇게 말하면서 그녀가 입을 열기 위해 애쓰고"
13,E63," 그러니 공부할 수 있겠어?
어~ 그래요?
예예? 아~ 예 예. 자 그럼요.
네. 네네. 오늘 우리 이 선생님을 통해서 선생님은 어떻게 공부해야"
14,E61," 그래서 내가 뭔가가 부족했거든.
그래 가지고 선생님을 칭찬할 때는 뭔가를 칭찬하는 것 같기도 했고. 그걸 통해서 내 자신이"
15,E62," 그 직업이란 게 내가 원하는 대로 되는 건 아니지만, 그래도 내가 원하는 만큼만 일을 해. 그리고 내 직업도 그렇게 될 수 있단다구? 나는 그렇게 생각해요. 하지만 내가 바라는 직업의 종류는, 내"
