,emotion,generated_sentence
0,E66," 그 동안 힘들고 힘들어도 잘 이겨냈으니까. 그래서 다시 한번 더 기회를 <unk> 주셔서, 이 자리에 다시 오도록 해요. 이젠 더 잘 할 거 같아요."
1,E66," #아기띠 가 필요없다
#유아띠 가 좋아서 #맘스터치 를 검색해서 봤더니
아기가 있는 엄마들도 #육아맘 으로도"
2,E66,".
어릴 때 공부해서 대학에 갈려고 했는데 취업도 못 하고.
그러면 어떻게 해야 되나요??
이렇게 해서 저도 모르게 이 일을 해 보고 싶은 생각이 들어요."
3,E64," 내가 회사 내 분위기가 좋은데 왜 그러냐. 너가 회사에 대해 아는 바가 없느냐.""
그는 말을 끊고는 다시 말했다.
이제까지 회사 내에서 가장 많은 사람이 회사를 떠난 뒤였다.
그렇지만 그가 떠난 뒤에는"
4,E64," 그게 그 회사의 가장 중요한 가치라고 생각하고 있어.
내가 이 회사에서 일하는 게 가장 큰 보람이고 내가 이 회사의 가장 큰 보람이라고 생각하는 거 같더라.
그 회사에 다니는 게 내가"
5,E64, 그래서 내가 이번에 이번에 수강한 전공과 관련된 책을 한권 사게 된 건. 내가 이제 전공시험을 보는데 이번에 수능에서 봤던 전공의들이 좀
6,E62," ᄏ""
이런 말을 들었는지 면접관들은 당황하는 표정으로 입을 다물지 못한다.
이렇게까지 말했건대 이젠 그 말대로 입사한지 1년밖에 채우지 못한 신입"
7,E62," 그걸 내가 잘 알기 때문에. 그리고 내 인생 최고의 성공 스토리를 만들어준 것도 내 자신이라는 걸 알고 있기 때문에. 그건 기분이 좋은 거지.
내가 지금 그~"
8,E62," 그리고 내가 면접을 줬어요. 그 면접이 끝나고 바로 합격이 돼.""
선배를 보며 정 씨는 말했다.
선배를 보면서 선배를"
9,E68,"""라고 말한다.
그렇다면 당신은 왜 이런 일을 하는가?
""내가 이 일에 성공한다면 그건 내 인생의 성공입니다.""라고 말하기 전에 당신은 당신을 어떻게 생각할 것인지를 먼저 생각할 수"
10,E68,"""라며 ""내년 1월 1일까지 '우리 함께' 페스티벌이 열린다""라고 말했다.
또한, 이 행사는 내년에 개최되는 세계육상대회에 참가하고 있는 육상 꿈나무의 육성, 그리고 육상선수로서의 꿈을 이루기 위해"
11,E68," 이럴 때 가장 좋은 것이 <unk>네들!.
그렇게 좋은 일 할 줄 알면 정말 감사해. 감사하단 말이야, 이럴 때가 더 좋다구!""
나는"
12,E68," 내가 너무 잘해서 정말 좋았고 나도 잘했지. 그게 너무 좋았고 너무 좋아서 나도 정말 행복해!""라고 말하기도 했다.
이날 방송"
13,E67,""" 라는 멘트가 흘러나오기도 했다.
그렇게 그는 자신의 꿈을 이루기 위해, 또 다른 꿈을 이루기 위해 열심히 달려왔고 이제 그 꿈을 이룰 자신이 있었다.
이번에도 그는 자신이 하고 있는 일이 무엇인지, 또 어떤"
14,E69," 그래서 면접에서 좋은 인상을 주니까 그 다음에 면접에서 봤던 것 중에 내가 제일 마음에 들던 건 뭐였어?
아니면 괜히 그"
15,E60," 정말 기분이 좋아.""
나는 그 아이를 안고서 다시 물었다.
""이건 네 말이야, 그거. 그건 내가 줬어.""
내가 고개를 끄적거리자 그 아이를 안고"
16,E65," 내가 너무 잘해주었지. 그거 때문에 내가 더 좋아졌거든.
내가 너를 좋아하는 건 사실이지.
하지만 난 내 친구들이 나를 사랑할"
17,E69," 라고 생각했어. 라고 생각하면서 그 회사에는 꼭 가 보자고 생각해서 갔었어.
그 회사에 가서도 그 회사에서 가장 좋은 면접"
18,E67, 그래서 내가 이번에 결혼했어요. 네? 그니까 그니까 이게 이게 뭐~ 뭐냐면 네가 이제 결혼할 수 있었던 이유 중 가장 가장 먼저
19,E69,"""라고 말했다""고 말했다.
한편, 이 날 채용에는 (주)다음카톡과 함께 '채용박람회의 꽃'이었던 (주)아트라스타도 참여한다.
아"
