,emotion,generated_sentence
0,E68," 그리고 그분들은 내 인생 최고의 친구들인데.""
그녀는 자신의 삶을 위해 최면을 건다고 말했다.
그리고 내 인생을 바꿀 만한 일이 있을 때 그분들을 위해 기도"
1,E68," 내가 이걸로 내 인생을 살 수 있을까? 나는 이대로 죽는 걸 바라지 않을 테고""
""아니, 나는 죽는 게 싫어.""
이렇게 말한 후 이젠 다시 그 말에"
2,E68, 그래서 나는 이거 하고 놀았단다. 그리고 나서 이번에 우리 손자가 이겼단 말예요. 그래서 그걸 보면서 우리 손자는 이거
3,E68," 그리고 나는 그 친구와 내가 같이 운동을 하는 모습을 보며 정말 신기했거든.""
나는 운동할 때마다 항상 그 친구가 내게 좋은 친구가 되고 싶었어.
"
4,E68," 그리고 내가 이젠 안아 줄 테니 너희들이랑 같이 살 수 있어.""
아무래도 내 마음은 내 건강보다는 내가 건강해지지 않을까 싶어 마음이 급해진 모양이다.
"
5,E68," 그리고 나랑 친해진 이후로 나는 항상 친하게 지내서 항상 친해져.""
""친구들과 얘기하는 걸 보면 내가 친해진 게 정말 감사한 거"
6,E68," 아이고. 그래? 예뻐서 너무 좋았어. 너무 감사하다. 예. 그래야지 예뻐야 돼.""
그런데 아까부터 그게 <unk>"
7,E68," 내가 왜 이렇게 바쁜지. 나 진짜. 왜 이러는 거예요
나 지금 뭐야? 왜 이러지 그래요?
그냥 내가 왜 그래요.
내가 너한테 뭐 해"
8,E68," 하지만 그게 쉽지도 않고 쉽지 않은 것 같아서.""
이미 다 된 일인데도 이럴 때일수록 조심해서 행동하는 것 같았다.
이제껏 이 일을 겪었다면 지금쯤은"
9,E68," 그 정도 체력으론 넌 내 체력이 부족할 것 같아.
하지만 내 체력만큼도 충분히 보충해줄게!
내게 남은 건 바로 이거.
그런 건 필요 없으니.
"
10,E60," 그런데 요즘에는 노인들의 여가 활동을 위한 프로그램들도 많아.
그럼, 노인 여가 활동은? 어째? 우리도 좀 배워 봐라.
우리나라 노인 여가 활동이 너무 다양"
11,E60," 그래서 아들한테도 칭찬을 해줬고 나도 칭찬하고 싶다고 하셨어.
그러다 갑자기 아들도 휴대폰 바꿔줬"
12,E60,"</d> 오늘부터 뭘 먹어야 할 지 몰라.
그래야 내가 행복해질 텐데, 내 마음엔 괜찮은데.</d> "
13,E60," 그땐 정말 행복했던가. 그래서 나는 이게 정말 내가 정말 자랑스러운 사람이 되고 싶었거든.
이번 기회는 내가 그 동안 살면서 정말 많은 것을"
14,E60," 그리고 이번에 우리 딸도 우리 딸도 잘 자라. 그래서 내가 잘 살 수 있잖아, 이번에 내가 우리 딸아이와 결혼해서 잘 살면 너는 행복해질 것 같은 느낌이 든다."
15,E60," 우리도 그 애를 위해 기도해야 돼.""
나는 그 말에 고개를 저었다.
그리고 내 말을 듣자마자 고개를 숙여주었다.
나는 다시 눈을 떴을 때, 내가 내 말을 듣던 자리에"
16,E64," 이 마을에서 나는 항상 이 마을의 사람들과 아주 가깝게 지내고 있었거든. 이 마을에 사는 사람들은 항상 내가 살고 싶어 하는 곳으로 찾아갔어.""
그녀는 그 마을에서 살고 있다는 사실만으로 기뻐하는 기"
17,E64," 우리집은 그걸 다 좋아하고 있어? 그걸 좋아해?
아빠랑 아저씨, 그건 정말 잘 어울린다는 생각이"
18,E64," 그래서 우리 모두는 우리와 친해지고 친해지는 거라고 생각해.""
""아직 안 왔나 봐요. 저희들이 먼저 와서 인사해 주고 싶거든. 그래서"
19,E64," 내 인생에 꼭 한 가방을 들고 싶었어.
내가 왜 이런 곳에 이사를 왔지.</d> 오늘 낮 최고 기온이 30°C 안팎을 보이"
20,E64," 그리고 노인들이 살기 좋은 마을이 되길 바라. 노인들은 우리 마을에 와서 살고 싶다.""라며 ""그럼 우리 마을이 노인을 위한 마을이라면?""이라고 질문했다.
이에"
21,E64," 그래서 내가 떡을 가져갔더니 떡을 주려고 했대요.""
""어디 떡을 가져오셨지요요요""
이런 얘기였다.
이제"
22,E64, 그래서 나도 언젠가를 떠나야 하는 게 아니냐? 그건 알지만 내가 떠나야 한다고 생각하는 거잖아? 내가 떠난 다음에라도 그 동네에서 계속 살아갈 거라고 생각하는데.
23,E64," 내가 너한테 얼마나 많은 걸 가르쳐주었는데 그건 다 네 몫이야.
내가 잘해줘도 네 몫을 잘해줘. 너희들이 잘해주잖아, 너는 잘해주지만 네 몫"
24,E64," 감사합니다.
이제부터는 우리 가족에게 맛있는 저녁밥을 차려드리도록 할 계획입니다.
아무것도 하지 말고 그냥 조용히 쉬십시오!
아무리 생각"
25,E64,".
그렇게 김치와 반찬들을 맛보고 나니까
엄마가 김치도 많이 드시게 됐어요.
저번에 다녀온 김치를 먹다보니"
26,E64," 우리 마을 사람들이 그 일을 하고 있는 것이 자랑스럽고, 우리 마을 사람들이 아주 기뻐할 뿐이지, 우리 마을의 사람들이 그 일들을 하면서 우리 마을의 사람들을 행복해하는 것이 정말 행복할 수가 없구나 하는 생각을"
27,E61, 그리고 이제부터는 이제부터는 좀 열심히 살 거라고. 그리고 또 한 가정이 생겼어. 그래서 이제 이십대 중반으로 보이는 한 여고생의 아버지가 그게 좀 힘들어 보이
28,E61," 그리고 이걸 통해서 내가 행복해. 그래서 이걸 좀 더 적극적으로 활용하면 더 좋은 결과가 나오지. 그러면은 우리 사회에 어떤 변화가 일어날까? 어떨까?
이제 이거"
29,E61," 하지만 나는 내 딸들을 위해 더 좋은 세상을 만들고 싶은데..""
이제껏 나를 도와주고 사랑해 준 분들이 모두 다 나라고 생각하며 나는 이렇게 말을 한다.
"
30,E61," 그리고 우리도 그걸로 만족을 해야 할 거고 또 앞으로도 그렇게 해야 할 거야.""
나는 고개를 숙여 말했다.
나는 그 순간까지 그 일을 하고"
31,E65," 이럴 수 있는 사람은 아무도 없을 테니.""
""어떻게 그럴 수는 없는 일이야.""
나는 씩 웃음을 터트리고 있었다.
그녀의 눈빛에 미소는"
32,E64,"!
아무쪼가리 <unk><unk> #아기자기장 만들어줘요!</d> <18.01.08.15.수 `#서울랜드
``#경주 #아쿠아나틱 "
33,E67," 이걸 가지고 왜 이렇게 난리야?
어디까지 갈 건데. 이따 저녁부터 하자.
그게. 아빠! 이거.
그런 건 아니지.
어디로 가는 거지!
아빠가"
34,E65," 왠만해서 그게 마음에 안 들어.
아무래도 왠만해서는 안 되는 것 같애서 그런 것 같아서.
""어휴! 저, 아까 전화해줘"
35,E67," 근데, 이 선생님을 보니깐, 이거 좀 더 조심해줘서 좋겠다는 마음이 들어.""
이렇게 말하고 담임의 손을 잡고는 다시 학교로"
36,E67,"""라며, 웃는다.
그렇게 몇 개월을 지내다가 어느 날, 우연히 한 여학생이 있었다.
이름이 뭐라고 했냐면 바로 그 학생이"
37,E67," 결혼식에 참석한 사람들이 다 같이 축하하고 행복해졌지 뭐.
이런 게 다 내 결혼식이거든.
그래서 결혼식을 올리지 않고 그냥 결혼식에 참석한 사람들은 모두 축하해"
38,E61,"!
아빠도 이제 곧잘 만나요 ᄏ.ᄏ.ᄒᄒ</d> 요즘 너무 많이 먹게 되네용! <unk>! ᄏ.<unk> ᄏ.
아직 먹지 못한 닭볶음에"
39,E68," 그땐 나도 그렇게 했었는데.""
아이는 그렇게 대답했지요.
그랬더니 그건 또 뭐야?
그랬더니, 아이가 그 얘기하고 싶어 하는 거라고 하더라는 겁니다. 며칠"
40,E62," 그걸 보면서 우리 부서도 그건 잘했다고 생각이 들어요”라고 웃으며 말했다.
한화생명과 삼성카드를 합병해 만든 삼성카드가 삼성카드의 모기업"
41,E66," 하지만 내가 다시 한 달 만에 다시 찾아온 날엔, 내 몸이 점점 쇠약해져서 견딜 수가 없게 됐지.""
이미 그는 내 몸이 곧 죽을"
42,E60,"!!!""
나는 갑자기 울컥하는 가슴을 쓸어 내렸다.
""그래!!!! 정말 너무 잘됐어.""
아니, 내가 정말 잘됐다는 생각이 드는군!!!
그런데도"
43,E68," 어~ 그~ 허리치수도 많이 내려갔지 않습니까?
아~ 예 예예. 허리치는 좀 더 낮아지긴 하죠.
그니까 이제 허리치는 이제 좀 내려왔고 네"
44,E64," 그런데 이제 그게 좀 안 되잖어요?
네. 어 그게 좀 아쉽네요
그~ 저~ 이게 좀 아깝네요?
예전에 뭐 저"
45,E64," 그런데 오늘 발표할 거라고 생각하진 않았거든.
그러니까 그게 뭐~ 저희 회사도 그렇게 생각하고 있는 그런 상황이긴 하지만은.
그래가면 이게 그~ 저"
46,E60," 그래서 내가 피아노 선생님과 친해지고 난 뒤에 내가 좋아하는 피아노를 찾아보게 되었어.
그때 내가 그 선생님을 만났거든?
그런 얘길 들었었"
47,E60, 그래서 다이어트는 하지 않아도 되고 다이어트를 하면 다이어트 효과만 있어? 다이어트를 하면서 몸매를 만들려고 하면 안 될 것 같아서 운동을 시작하게 됐는데 다이어트는 안 해도 돼.
48,E61," 그거라도 해줘. 이거 해줘야겠어.
그래도 이게 뭐가 그리 좋은데. 어~ 내가 그걸"
49,E61," 그리고 수술도 빨리 끝내고. 그리고 나중에는 수술할게!""
그때 나는 내 옆에 서서 그 말을 했다.
그리고 내 말을 들은 순간 그 순간 내 옆에 있던 다른 사람들이"
50,E67, 괜히 내가 이걸 팔려고 샀나. 어차피는 이걸 사야 하는데 <unk>네한테 이걸 팔면 안 되나. 아휴. 이거는 팔
51,E60," 괜찮을 거야.""
이런 말들은 모두 내 귀에 들리지 않았습니다.
이제 와서 왜 그런 소리를 할까, 아니면 이번에 내가"
