,emotion,generated_sentence
0,E67,"""며 웃었다."
1,E69," 그래서 취업할 때까지 기다렸지. 하지만 그땐 내가 정말 잘했거든. 그때 내가 얼마나 많이 배웠는지, 내가 어떻게 해서 이겼는지도 모르겠어! 내가 왜 이런 걸까?"
2,E67," 내가 원하는 기업을 알아보고 싶었지. 그 기업이 얼마나 잘될까 궁금해서, 또 다른 기업에 취업해서 성공하는 게 어"
3,E68," 그 여자 친구랑 만나면 좋을 텐데""
나는 그렇게 말했더니 그는 이렇게 말했다.
그는 나를 쳐내듯이 말했다.
나는 그의 얼굴을 쳐보았다.
그리고는 다시 말했다.
그"
4,E62," 그건 내가 책임질 일이 아닌 것 같군.
""아뇨. 뭐라고 하세요?
이제 그만 하세요.
그건 내가 알아서 해. 그건 내일 아침에 일어나.
그런 식으로 해"
5,E67," 그런데 오늘 보니 내가 너무 잘해줬구나 하는 느낌이 들었던 것 같아.” 그는 “이제야 내가 잘해줬다고 느낀 것뿐이지”라고 말했다.
그날 밤 친구와 술자리를 가진"
6,E63," 그래서 이걸 또 어떻게든 이거를 이케 이걸 또 이걸 어르신에게 알려야 되는데 이걸 좀 알려야 되는데요.
어떻게 해야 되는 걸까요?
그~ 저희 남편한테 얘기한 게"
7,E68," 그런데 왜 그게 그렇게 잘 나왔는지 몰라도 성적이 안 나와서 그~ 저기 아까 얘기한 그거처럼 그냥 뭐 성적에 대한 얘기가 아니라 성적에 대해서 얘기한 거지.
아~ 그래"
8,E63," 그래서 그걸로 뭘 할까? <unk>가 <unk>의 머리를 만지고 있어. 내가 이게 무슨 일이든 해야 할 것 같아.""
""아빠는 내가 하는 일마다"
9,E68," 그걸 다 먹고 싶지. 그게 제일 좋아. 아까 그~ 아저씨는 뭐~ 뭐야? 어.
어~ 뭐야! 어어.
아빠랑 같이 가자.
아~"
10,E60," 그리고 그게 바로 그걸 내가 잘 알았어.
아~ 그니까 나는 내가 지금 그~ 뭐라고 했어?
내가 뭘 하고 있는지 모르겠는데 네네에. 네에에~"
11,E67," 그리고 난 내 친구랑 잘 지냈대.
그랬을 때는 나도 너한테 잘했지!
난 네게 줬어?
나 때문에 너한테 잘해 준 것 같은데, 내가 네한테 잘못했다고"
