,emotion,generated_sentence
0,E69,"""
나는 이렇게 말하면서도 뭔가 다른 것을 느끼고 있다.
""그렇다. 술 마시는 거는 건강에 좋지 않다는 얘기잖냐.""
그때 갑자기 한 여자가 들어왔다.
"
1,E66," 그걸 내가 어떻게 알아.
이건 정말 중요한 일이야, 나 혼자만 그런 거야. 나하고 결혼하는 것도 아니고 결혼하고 나니까 정말 기분이 좋은데 왜"
2,E61,"요~! ᄏ ᄏ</d> 저번에 ᄏᄏ
이번에 또 한번
이제부터 #오픈마켓에서 #쿠쿠쿠를 만나봅니다
<unk>
이렇게 다양한"
3,E61,"""라는 멘트가 흘러나온다.
그리고 이 멘트는 이걸로도 충분하다는 의견이 많다.
아직 임신중인데다 출산 후 스트레스가 많이 쌓였기 때문이라고.</d> 이게 무슨 짓인가 싶어서 ( "
4,E64," 그거 내가 다 알아서 해줄 테니깐, 내가 잘 해줘.""
아무튼 그녀는 남편의 손을 잡고는 남편의 팔을 붙잡고는 말했다.
그녀의 눈빛에는 미"
5,E63," 아빠가 그거 다 알고 있는 것 아니에. 엄마는 그~ 내가 이걸 알잖어? 아빠랑 내가 아는 게 다 알고 있었어.""
나는 아~ 그걸 알면서도"
6,E68," 그리고 그게 내가 좋아하는 거니까, 나는 그 친구를 따라다녔어.""
그런 식으로 말했을 때의 그 순간의 기억을 나는 잊었다.
그리고 그 순간부터 나는, 내가 그 친구를"
7,E64, 내가 <unk>가 봤으면 더 잘했을 거 아는데 그거 때문에 아쉽네요. 네네네. 아쉽네. 네예? 어~ 아~ 그거 그게 그거는 뭐
8,E60,"""
이번 주말에도 어딜 가야 할지 모르겠다! 하고 난리를 치다가 뭔지 알겠지?
이렇게 말하면서.
그렇게 말을 하고 나서는, 내"
9,E66,"' 라는 질문을 던진 것이다.
'나는 왜 그렇게 일찍 퇴근이 되었는가?'라는 질문을 던져 보자.
""내가 왜 그렇게 늦게 자느냐. 일찍 자느냐""고 묻는다면, '내가 언제 퇴근"
10,E62," 내가 이걸 보고 있는 건 아니지? 네. 어머님이 저한테 이렇게 얘기하셔. 네? 네네. 그게 뭐지?
이거 이~ 뭐라고 얘"
11,E61," 앞으로도 꾸준히 상담을 해주셔도 될 것 같아.
아직까짓것보다 더 많은 정보를 갖고 계시는 것 같고. 앞으로 또 어떤 정보를 갖고 있을"
12,E60,"""
그녀는 ""그래, 내가 행복하게 사는 것이 행복하지?""
그렇게 말하더니, 그제서야 나는 행복해졌다고 대답하였다.
그리고 ""내가 행복하게 살고 있는 것이,"
13,E66," 내가 왜 이런 생각을 하고 있는 건지도 모르겠어.
내가 뭔지 몰라.</d> 지난해 11월 미국 로스앤젤레스에서 열렸던 국제올림픽위원회의 IPC 총회에서 북한 대표단이 I"
14,E60," 그리고 우리 학교 시험은 우리 애들 성적보다 내신이 훨씬 좋거든.""
그녀는 내신 성적이 좋은 이유를 물었다.
""아직까지 내가 내신이 제일 높다고 생각해? 내신을"
15,E62," 너한테 무슨 말을 해. 내가 너한테 어떤 얘기가 있는지 알 수 없거든. 내가 네 말을 믿어주지 않을 거란 말이야. 난 널 믿는 거 같아.
너도 널 믿고 있어.
"
16,E69," 그래서 이걸 잘 보고 싶어서, 이 책을 쓰게 되었다고. 그게 바로 이거거든, 이 책이야!""
그녀는 자신의 책상을 가리기 전에 한 번 봤을 때 이 책의 내용이 무엇인지 깨달았다.
"
17,E60," 그리고 그건 내 친구들하고는 다른 거야?""
""그래요. 나는 내 동생하고 같은 거라고 생각하는데? 난 친구들 중에 가장 좋은 친구가 되고 싶어해요""라고 말하는 그는 자신의 말을 듣자마자 고개를 갸"
18,E60,"""
이제야 나는 기분 좋아지는 것을 느낀다.
아무튼 내가 이토록 좋아할 때 그 순간에 내 머릿속에서 나는 어떤 생각을 하게 되었는가?
아니, 그 순간의 기분을 내 뇌"
19,E64," 하지만 나는 너희들끼리도 행복하지 않으니까 말이지, 난 그걸로 족하다고 생각해."" ""아무래도 나는 그걸로 만족하지 않아.""
나는 다시 말했다.
그러더니 갑자기 그 말에"
20,E62," 너한테 잘해주렴! 내가 잘해준다고, 너는 잘해. 내가 너무 좋아.
그래서 나도 좋아.
그냥, 우리 담임은 우리 선생님을 너무 좋아해서. 너희들하고"
21,E61," 너랑 같이 있으면 좋겠는데? 너한테도 너무 행복하니?
왜 그래?
너한테도 너를 사랑해? 내가 사랑할게.
그럼 너는 너한테 정말 잘해줄 거야"
22,E69," 내가 그 정도까지는 못하더라도, 그 정도의 일을 할 거면 지금부터 다시 시작해도 좋으니 걱정 말아.""
나는 왠지 모를 두려움에 사로잡혔다.
이번 일을"
23,E62, 그래서 돈을 넣어두었다가 돈을 찾을 때마다 다시 원금을 갚는 방법을 찾아보게 돼 있어. 그 방법은 바로 은행 예금통장에서 돈을 빼는 겁니까? 은행 예금을 통
24,E68,"!""
""이런! 저기! 아까도 그랬어요.""
""이건 내가 해야 해요~. 이걸!""
""그"
25,E67," 그거 괜한 걱정도 없는데? 아~ 저도 취업을 하고 나서 이제 막 취업해서 막 막 막 이런 생각들 하고 있었어요
아~ 그래서 막 그걸"
26,E60,""" 라고 말한다.
그리고 나레이션을 통해서는, 나츠미의 말에 따르면, '너에게 괜시리 마음이 가는군요'라고 말했다고.
그 말을 듣는 나츠의 반응은... 츤데, 이걸 보고 '"
27,E69," 하지만 그 사람은 내가 나를 속이는 거라고 생각해서 그렇게 한 게 아니지.
난 그 사람을 사랑했거든!
난 그런 걸 사랑했지?
내가 너의 사랑을 속"
28,E66,"""
그가 말없이 말했다.
그런 말을 하고 나니 그의 마음이 조금은 가라앉아 버렸다.
그녀는 고개를 돌려 그 말을 들었다.
그는 천천히 걸어서 걸어서"
29,E66,"</d> 이번 주말에도 추위는 없겠지만, 주말을 지나면서 다시 한파 특보도 내려지겠다고 합니다.
현재 전국 하늘에는 눈발이"
30,E66," 그리고 요즘 같은 날씨엔 운동하기 좋은 날이라니.
아마 그 날만큼만 운동하면 더 잘하고 싶다고 했어.
그리고 운동할때가 되면 또 다른 운동"
31,E64," 그리고 또 오늘 또 다른 얘기로 또 다른 얘기가 있어?""
그녀는 이렇게 말했다.
그녀가 그렇게 말했다는 것을 그녀는 눈시우고 또 눈"
32,E62," 우리 모두의 꿈인 내 꿈은 꼭 이루자""라면서, ""이제부터는 열심히 해서 좋은 성과를 만들어가겠다.""고 밝혔다.
이어 김 대표는 ""지금부터 열심히 하면 더 큰"
33,E64," 그 사람이 우리한테 뭐랄까?""
이제껏 그 사람의 이름을 들어본 적도 없었던 그 남자는 이렇게 말문을 놨다.
'당신이 지금 당신을 좋아해요. 당신을 좋아하지 않아요."
34,E69," 이 일을 해보고 싶다는 생각을 해본 적도 있어.""
그는 이렇게 말하면서 뭔가의 말을 하고 싶어 했다.
그가 이렇게 말하면서 그의 손을 잡아끌고 있던 손을"
35,E61," 내 인생에는 꼭 성공해 봐. 내 인생도 꼭 다시 해봐, 응원해.""
그런 그의 말을 들은 나는 다시 한번 고개를 저"
36,E66,"""라고 말하며 눈물을 보이기도 하였다.
이어서 이 장면의 배경음악인 BEST Of Live는 'To the Firth of Teen'이라는 타이틀이 붙게 되었고,"
37,E64," <unk> ᄏ <unk><unk><unk></d> 이게 뭐예요..ᄏ
아침에 뭔가 먹었더니 너무 배가 부르네요..ᅲᅮᄏ ᅲ"
38,E64,"""라고 말했다.
그러자, 학생회가 박 전 대통령을 지지하는 내용의 피케셔스 포스터가 적힌 피케이스를 흔들면서 항의 시위를 벌였다.
이에 학생들은 피케이스와 포스터 사이에 있던 종이를 흔들고"
39,E64, 그거 다들 잘 아시겠죠. 네. 근데 저희는 뭐 이번에 뭐 한 일 년 전에도 그거 뭐 그게 뭐 그니까 이십 년도 아니고 이천십팔년 십
40,E64," 그 친구들도 모두 생일 축하해 <unk>니까? 아휴, 우리도 다 생일파티를 해야 돼. 그리고 우리 또래들도 함께 축하하고. 그리고"
41,E64," 그래서 나도 그 친구들 다들 잘 놀아주면서 즐거워하는 것 같애.” 이 말을 끝으로 둘은 다시 만났다.
지혜"
42,E60," 너한테 미움 받는 것도 싫어하고 너만 행복하게 살아줄래? 네. 아이고 아빠한테 미련 받잖어.
어머 어쩜 저런 거 아니에요,
이렇게 말"
43,E60," 내가 이럴 수 있다는 걸 보여 주고 싶은 것뿐이지.
그렇다면 그거라도 해야 해. 난 지금 그~ 이케 뭐라고 얘긴 했었는지 모르겠어.
아무 말도 없었어."
44,E61," 너는 우리 딸보다 우리딸을 좋아할 거야, 그건 너랑 나하고 얘기도 안 하고 있어? 네 말이 맞는 말이니. 너는 그 말을 믿으면 돼. 내가"
45,E61," 그거야 말로 우리도 그게 좀 도움이 되겠어.
그래야 내가 더 좋아지겠어.
이런 생각 좀 하지?
어떻든 좀 잘 좀 해주지 않으면 안 될 텐테?"
46,E62," 내가 이걸 할 때마다 그 친구들은 내가 얼마나 열심히 일해줬으면 하고 기대해줬으면 하고 바랐지.
내가 그 친구를 정말 많이 좋아하고 사랑해"
47,E62," 그리고 그 지식을 토대로 한 새로운 지식도 얻을 때가 많아요. 그래서 그게 더 도움이 되는 거 같아. 그래서 책을 많이 찾아봤어.""
""그래. 그런데 왜 책을 많이"
48,E63," 그래서 내가 너무 힘들어하는 모습을 보여드리고 싶었던 게.""
그렇게 말하는 그녀의 말에 나도 마음이 편해졌다.
아무튼 그 날 이후 우리는 점점 가까워"
49,E63," 그리고 또 내가 지금 이게 무슨 일이야?
이제 이게 내 생활에 아주 좋은 거야! 네가 그거 하고 있어. 하고 싶은 게 있어서.
이제 내가 할 게 있어서.
내가 너"
50,E62," 그리고 나는 내 마음을 알아주었어.
나는 내 마음을 알게 되었어.
나는 나를 믿어.
그리고 내 마음 속으로 내 생각을 말하겠다.
내 마음을 알게 되어. 내가 나를 사랑한 것을 알게 될 거라고 믿"
51,E62," 그리고 그건 바로 그게 내 자신이었어.
그래도 이제 내 자신으로 돌아갈 거고. 그래서 그걸 믿고 이제 그거를 또 믿었던 거 같아?
어~ 그래서"
52,E67,".
근데 왠걸, <unk>들이 너무 많이 아픈 것 같은 생각이 들어서 <unk>들은 뭘 먹어도 아프"
53,E68," 아이고 저거야. 이게 무슨 일이에요?
이렇게 이거 뭐예요?
아니 뭐 이게 왜 이게 왜 이래.
그게 아니야 아니 이거는 무슨 일이야 아~ 아아"
54,E68, 기분이 좋다 이거지 이게 뭐냐 하면 그~ 우리 그~ 이거야 뭐~ 그니까 우리 우리 저희 이게 그까 저는 이제 우리 이~ 이
55,E68," 그건 네 탓이오.""
아무 말도 하지 않고 있는 나에게는 이 모든 것이 너무나 큰 슬픔이 아닐 수 없었기에 그는 이렇게 말했다.
'그래. 그 슬픔의 원인이 뭐니?' 내가 물었다.
"
56,E68," 네네. 그거 가지고는 안 되는 게. 네~ 아~ 그래. 아하. 그래.
그렇게까지 했으면 어땠나 싶고.
어떻나.
그럼"
57,E61," 내가 너무너무도 사랑스러워.""
나는 고개를 숙여 보였다.
그리고 내가 얼마나 사랑스러울까.
그때 내가 말했다.
그녀는 나에게 말했다.
그녀는 나를 바라보면서 이렇게 말하며 나를 껴안고 웃"
58,E61," 그러니까 서로에게 다 잘해주지.
그렇기 때문이에요?
그러면서 그건 그게 아니에요.
그러면서 제가 얘기한 건요.
그게 아니고 저는요.
그러니까 제가 지금"
59,E63," 그래서 나는 남편이 너무 고집이 강하거든? 그걸 잘 알고 있어?
남편과 함께 하는 시간들이 너무 많더라고. 근디 남편이 그렇게 잘해? 내가"
60,E63," 그대는 지금 이 자리에 서 있는 것 같아요. 그대의 천국이 어디인지 아십니까.
어디야? 어디야 어디지 아냐? 이젠 천국에"
61,E61," 네네. 감사합니다.
이번에는 이비에스에서 다시 한번 만나 뵈도록 하고 싶어요.
네. 네? 안녕합니다.
오늘은 네. 네~ 오늘이 마지막이에요.
네. 이번에 그 첫 번째"
62,E66," 하지만 내가 원하는 것을 얻었다면, 그게 내 것이 아니라면 그 사람은 내가 원하는 것 이상으로 행복할 것 같아.” 이 말에 나는 다시 한 걸음 앞으로 나아가고 싶었다.
이번에도"
63,E60," 그리고 내가 이 일을 어떻게 하면 좋으세요. 그걸 잘해야 되니까, 그게 가장 큰 목표예요, 저. 이게 가장 중요하다고 생각해. 그래서 내가 그 일에 성공"
64,E67," 그리고 나랑 비슷한 점이 있으면 그게 더 좋아진다.</d> 한국에서도 꽤 유명한 배우인 이한철의 배우인 김지훈이 출연하는 뮤지컬이 있는데, 이한철이 출연하고"
65,E61," 하지만 그게 다 나쁜 것은 아닌 거 같아.
아무나 결혼하면 그게 나쁜 건 아니지.
나쁘게 말하면 좋은 것 같아.
그래야지"
66,E68, 그리고 그 여자 친구와 함께 여행을 가자고. 그런데 그 여자 친구는 내가 여행을 갈 때 같이 놀러가는 게 아니라 나를 따라가는 게었다. 그 친구와 나는 여행 가는 걸
67,E62," 그런데 내가 이 일을 하는 이유는 <unk>냐. 넌 왜 나한테는 안 해?""
이렇게 말하는 이 사내의 얼굴에 눈물이 고인다.
그런 그를 보면서 그는 자신도 모르는 일인 듯"
68,E61," 그리고 나만의 특별한 경험을 해 볼 기회가 있으면 어떡해.
내가 원하는 건 뭐야. 내가 원하는 건, 내 안에 있는 내 모습을 보고 그 내면을 들여보라는 거고 내가 바라는"
69,E63," 그리고 나는 그 사람을 좋아하지 않아. 내가 내 말을 들으니 내 마음은 이미 다 알았으니까.
나는 그 사람에게 내가 좋아하는 것을 말하기 전에 그 사람을 만나"
70,E69," 그게 내가 원하는 게 아니라. 나는 지금 당신을 사랑해. 그리고 그걸 위해서 모든 것을 할게.""
이제 나는 당신과 당신과 당신의 관계가 어떤지를 알아낼 것이다.
""당신과 당신 사이의"
71,E67," 아휴 그건 나도 마찬가지야.
아이고 아휴 아까도 말씀 드렸던 것처럼 그게 뭐가 중요하다는 걸 알지만 내가 그거야 내가 아빠가 그~ 결혼식을 올리"
72,E67," 그거 다 줬으면 됐는데 아유 아유 감사합니다.
그럼 이걸로 이거 또 이거로 다 줘도 될까요?
그니까 건강 보험을 안 받아 "
73,E68, 그래서 이제 이십일일일 날 합격이 됐고 이제 졸업했으니까 네 명 다 대학에 입학한 거잖. 네 명이 대학에 입학했는데 이번에 이제 졸업을 했어요. 어어
74,E68," 아이고 어이 어이가 없어 어이고 어어 이거 어떻게 해야 되는지 모르겠다.""
그녀는 이렇게 대답하면서 이렇게 말하며 눈물을 닦고 말했다.
이미 그녀의 얼굴은 이미 하얗게 변해 있었다.
이런"
75,E63, 그래서 내가 좋아하는 사람은 그 사람과 같이 있는 것이 즐기고 행복한 것뿐이라는 것을 깨달아야 할 것이야. 그래서 내 인생과 나의 인생 사이에는 언제나 큰 관계가 있어. 그리고 그 관계를
76,E68," 그래서 내가 먼저 가볼까.</d> 서울시가 서울형 자율주택 사업을 본격적으로 시작한다고 19일 밝혔지만 정작 주택도시기금에서 지원되는 돈은 많지 않다.
주택건설업계는"
77,E60," 그래서 내가 이걸 좀 더 살리고 더 건강하고 행복한 생활을 하고 있거든.""
이 말을 듣던 김지민은 고개를 숙여 말했다.
이"
78,E60," 그래서 요즘은 건강을 챙길 때 가장 먼저 신경써야 할 부분이 뭐냐? 건강검진과 건강관리입니다.
그동안 많은 분이 건강을 잃을 때 제일 큰"
79,E63,""" 라고 말한다.
그리고 그 말을 듣는 사람은 모두 다 그 말뜻과 그 뜻을 이해한다고 생각한다.
그러나 나는 그 말의 의미가 무엇인지 몰라 답하기 어렵다.
왜냐"
80,E63," 하지만 그걸 알면서도 왜 그런지 모르겠지.
이제부터 내 인생을 살겠어.
내가 지금 하는 일은 내 삶을 사는 일이야.""
그녀의 목소리와 눈"
81,E66, 그리고 우리를 위해 모든 힘을 쏟았어. 그리고 이번에야말로 그 어떤 것보다 중요한 일을 할 것! 이젠 그 누구도 그 사실을 알지도 못하니까
82,E66, 그런데 이제 막상 살아나서 그런 게 너무 아쉬웠거든요. 그니까 그걸 어떻게 하면 좀 더 건강해질까? 이거는 뭐 그게 더 중요하다고 생각해요
83,E60, 하지만 이 모든 것들이 나를 위해서가 아니라 우리를 위한 것이라고 믿기 시작했거든. 그걸 깨달아 내가 이 세상에서 어떻게 살 수 있을지 상상도 못했어요. 그래서 이 세상에서
84,E60,"!!
근처에 카페들이 많아서 좋구요 ᄏ ᅲ.ᅮ</d>!!
#일상그램<unk>스타벅스코스<unk>#스타그램그램 _
<unk>!"
85,E60," <unk>가 넌 왜 그렇게 아픈 줄 알아?
그럼 뭘 어떻게 알아!
내가 너랑 나랑 같이 있으면 좋겠다고 생각했잖아?
아무튼"
86,E60," 그래서 그거 다 해냈으니까 정말 고마웠어요.""
그녀는 ""아빠. 정말 너무너~"" 하면서 울부리에 팔을 올려주었다.
그러"
87,E61," 그리고 우리 가족들이 정말 자랑스럽고. 그리고 우리도 행복하게 사는 게 너무 좋아.""
""이런 좋은 날이 있었으면 하는 게 제 바람이에요. 우리 모두 행복한 날이 됐으면 하고 바라고요."""
88,E61," 그리고 또 이십 년 만에 결혼을 했는데 결혼 생활 중에 한 달에 육 개월 동안 거의 육 개월이니까 한 달에 한 달 반이거든요.
그러니 그게 너무 너무 고된 것 같아서 정말"
89,E64,"""
아내는 그렇게 말하면서 내 앞에 꽃 한 송이를 주우려고 한다.
그때 내 눈에 눈길이 스쳤다.
아내가 그 꽃"
90,E64, 그런데 그게 뭐야. 아휴~ 아~ 그~ 건강보험심사원 홈택스가 아니야. 아유 건강 검
