,emotion,generated_sentence
0,E64," 우리 모두 카네시스를 선물해 봅니다.
오늘부터 매주 금·토요일을 이용해 어린이들의 눈높이 교육에 도움을 주는 카운슬링 프로그램을 시작했답니다.
우리"
1,E64," 내가 너무 좋아. 내가 정말 좋아하고 좋아하는 걸 내가 다 해 줄 수 있는 사람이지.
나는 정말 고맙고 사랑하고.
그렇게 생각하니까 너무 좋아서 행복하고"
2,E64," 그땐, 그게 내 꿈이야.
그땐 정말이지 행복하더라고, 정말이지 그건 꿈이야.
그래도 그땐 내 꿈에 대한 믿음이 더 강"
3,E64," 내가 너한테서 얻은 것은 너와 나, 내 아들뿐이라구! 네 말이 맞다면 내가 널 얼마나 잘 돌보고 있나?
너를 잘 보살피고 있어!
나는 지금 이 순간,"
4,E64, 그게 그게 제일 인상적이였지? 아유 정말 너무너프네요. 예. 그래서 이걸 또 다시 사야 되는데 아
5,E64," 그런데 이 여자가 왜 그렇게 많은 사랑을 받고 있을까?
왜냐하면, 그녀는 남편보다 먼저 결혼한 여자일지도 모름. 그리고 그녀가 사랑하는 여자는 그 여자가 사랑하는 여자와는 너무나 많은 시간을 같이 보내기 때문에"
6,E64," 그래서 내가 임신 사실을 안 거예요?""
""아니, 임신한 걸 몰랐다. 내가 어떻게 했는지 모르지만, 내가 왜 그렇게 됐는지 모르겠다. 임신했을 때부터 임신한 걸"
7,E64," 그 약속을 지키면서 살 수 있는 사람은 나 밖에 없다고.""
나는 이렇게 말하며 다시 집으로 돌아와서, 내 손을 꼭 붙잡았다.
그리고 다시 내 손안에 쥐여진 내 손을 꼭 붙잡"
8,E65," 그리고 그 사실을 숨기기 위해서 다른 여자친구들에게 접근을 했지.
그런 사실을 안 그 여자들 중에는 한 명밖에 없었는데 그 여자들에게서 임신했다는 사실을 숨긴 채 임신했다고"
9,E65," 그게 다 무슨 일이죠, 그 사람이. 내가 어떻게 해야 할지 몰라도. 내가 무슨 일이에요?
내가 왜 그러고 있나요!!
내가 뭘 잘못했다고?
"
10,E65," 내가 사랑한다고 해서 그 여자도 사랑한다는 건가. 내가 여자한테 얼마나 많은 걸 해줬나? 난 정말이지 그건 너무 잘 알고 있지.
그런 말을 듣고 나니,"
11,E65," 그게 다 내 탓이지. 그나저의 꿈이었던 걸까. 내가 정말 사랑하고 있는 것 같아서 너무 감사하고 있거든.
그게 바로 내가 사랑하는 나의 마음이라는"
12,E65," 그 친구가 정말 잘생겼다.
그래 가지고 한국으로 돌아가서 그 친구를 꼭 한국말로 불러주려고 한다.
그런 생각을 했었다.
한국말로 하면 '한국 사람'이라고 한다.
그 친구하고"
13,E65, 그리고 내 여자친구가 나에게 이렇게 얘기도 해. 나는 내 친구로 생각하고 있었어. 나는 내가 그 여자친구랑 결혼을 해서 그 남자친구와 살고 싶어.
14,E65," 그 여자 때문에 내 인생을 불행으로 몰았던 것 같은 기분이 들어서.""
그녀의 말을 들은 그 여자도 고개를 흔들었어요.
'아냐, 그건 나도 마찬가지야.""
그"
15,E65," 내가 너의 엄마라고 했거든, 너의 엄마라면서.
""엄마. 아까 엄마 아줌마는 왜 안 해?""
나는 대답할 수밖에 없었고, 그건 엄마의"
16,E65," 그래서 결혼이 아니라 그 여자를 아내로 맞이할 거라고 믿었고, 그래서 결혼이 아닌 결혼이라는 말을 했거든. 하지만 그 여자가 나를 좋아해서, 그 여자는 내게 너무 잘해주고"
17,E65," 하지만 우리는 아직 결혼을 못해.""
이런 얘기를 듣자 나는 가슴이 아플 정도로 기분이 나빠졌다.
나는 결혼식 날짜에 맞춰 결혼식을 치르고 나서야 겨우 집으로 돌아갔다.
나는 결혼"
18,E67, 그런데 내가 거짓말로 속여 준 것은 내 친구의 친절한 태도에 대한 보답으로 내 친구들을 위해서였어. 나는 내 친구는 내게 거짓말할 줄 몰랐지!
19,E67," 하지만 그건 나도 알고 있단 말이니까.""
그녀는 잠시 말을 끊더니 이내 다시 말을 잇지 못하고 있었다.
이윽고 그녀의 목소리가 울리기 시작했고, 그녀의 얼굴은"
20,E67," 내가 사랑할 때면 내가 사랑한 것을 내 가슴속에 묻어 두고 싶어.""
그때부터 그는 내게서 멀어졌습니다.
""그렇게 생각하지 않았지.""
그는 내가"
21,E67," 그러나 내가 왜 이럴까? 왜 그렇게 바쁜가! 내가 왜 그렇게 힘들까, 내가 얼마나 고민을 했을까?
이렇게 고민은 하지만 그래도 나는"
22,E67," 내일부터 병원에 가서 검사받으러 올게.
그래, 내일이야.
그래, 그래, 그래.
내일, 내일, 내가 내일을 잘 챙겨.</d> 이번 이벤"
23,E67," 그건 너무 좋은데 그거 때문에 너무 괴로워서 그걸로 끝낼 수도 있어.""
아내가 이렇게 말하자, 아내는 다시 한번 고개를 저었고, 아내는 다시 고개를 끄떡거"
24,E67," 그 약속 때문에 나도 더 많은 걸 했지.""
이제는 내가 무슨 짓을 했는지, 나는 어떤 일이 벌어지길 바랐다.
나는 내가 무슨 일이든 하고 싶어"
25,E67," 내가 괜찮은 거 같아? 네에! 그건 뭐예요? 저도 잘 몰라. 네가 뭔지 몰라,"
26,E67," 그게 내 첫사랑이라고.""
그는 그녀가 내게서 떠나버린 것 같아 가슴이 철썩 주저앉아 울고 있는 그녀를 바라보며 울었다.
그는 그녀를 위해"
27,E67,"""라면서 웃는 표정이 역력을 더했다.
그렇게 웃으면서 웃는 아이의 모습에 박 대통령은 잠시 생각에 잠겨 있던 찰나의 미소를 지었다.</d> 지난 4월 30일 오후"
28,E69," 그리고 난 정말 너무 기쁘단다.""
""아빠, 정말 기뻤습니다. 그리고 난 정말 행복합니다. 난 행복하고 행복한 시간입니다. 아까 그걸 알았을 때는 행복했던"
29,E69," 그래서 나는 너의 마음을 알아주겠니라고 말하는 거고.""
그때 내 목소리가 들려 왔다.
""아아, 아빠. 너, 너를"
30,E69," 내 사랑, 나의 친구, 나를 위해서, 그리고 나, 그리고 나, 그리고 나 그리고 나를 위해, 나의 나
그때까지 나는 나의 프러가 나를 위한 것이"
31,E63," 그리고 내 생각엔 내 생각보다 빨리 끝날 것 같아서 너무 걱정하지 않아.""
""그런데, 내일 아침에 도착할 것 같아서 걱정할 필요는 없겠네! 그럼"
32,E63,"""
상사는 이렇게 말하며 웃는다.
상사가 이렇게 말하는 동안에도 나는 그의 눈치를 살피는 것 같아 꼼을 못한다.
나는 상사에 대해 더"
33,E63," 하지만 내가 원하는 대로 일을 하고 싶어.
내가 좋아하는 일을 하고 싶은 거니까, 아니면 그 일이 나에게 좋은 영향을 미치기를 원해?
내가 바라는 건 그건 아니라"
34,E63," 내 사무실에 앉아서 업무를 보는 게 너무 편하고 좋다. 내 책상 옆에 앉아 일을 봐도 편하고 업무효율적이거든""라고 설명했다.
그는 또"
35,E63," 그리고 그거야 뭐가 되겠냐구? 그거, 이제 시작이다 싶어서.
이제야 알 수 있어"
36,E63, 그래서 내가 좋아하는 일이 뭐든지 해보고 싶은데. 그래서 그거를 계속 해 보고 있구나. 그래서 나는 지금 이걸 계속 할 수 있게
37,E63," 그래서 그런 거 같아?
아~ 그니까 뭐~ 그게 아니잖아, 이게 뭐냐면 이거는 그냥 그 사람이 그냥 해고되면 어떻게 되는지 알아.
어~ 그래서 내가 뭐"
38,E64, 그리고 지금 내가 하는 일에 대해서는 나도 만족하고 있어? 내가 원하는 것은 내가 지금 할 일은 하고 있다는 것을 보여주고 있는 것이잖아! 그리고 나는 지금 내 일을 할 때 그게 내가 원하는 거
39,E64," 그런데 공무원은 다른 직종에 비해서 상대적으로 낮은 성적을 냈지?""라며 의문의 질문을 던지는 동료의 모습을 보이기도.
하지만 그 역시 공무원은 아니었다.
이렇게 공무원시험 준비생들이 겪"
40,E64, 그리고 내가 이번에 이 직업을 갖게 됐는데. 정말 이 직업을 갖고 싶다고 하거든요. 그래서 이제 내가 그~ 직업으로 삼을까를 생각 중이었는데. 어머님이
41,E64," 그리고 내가 이번에 내가 봤어. 내가 지금 그걸로 이걸로 이렇게 뭔가가 좀 이게 이게 뭐랄까.
이렇게 해서 좀 봤어"
42,E64," 그리고 나는 더 많은 일을 하고 더 많이 성공할 수도 있다는 희망을 가지게 될 것 같다.""
나는 내 친구들에게 이 책을 권하며 말했다.
이렇게"
43,E64," 범죄자 잡으려면 어떻게든 붙잡고 잡아야 하니깐.""
이 말을 듣고 나서, 그는 한 번 더 말했다.
이번 일은 그가 한 일이 아니었기 때문이다.
""이제 곧 경찰을 보내"
